"societies_society_name","societies_society_state","societies_society_city","societies_society_meeting_info","societies_society_meeting_location","societies_society_zip_code","societies_society_website","societies_society_website_url"
"Asociacion Caldense de Orquideologia","Departamento de Caldas","Manizales","Please visit our website for more details!","","","https://www.asocaldensedeorquideologia.com/","https://www.asocaldensedeorquideologia.com/"
"Asociacion de Jueces de Orquideas de Costa Rica","Provincia de San José","San Jose","","Box 72-3100","","",""
"Asociacion de Orquideologia de America","Florida","Miami","2nd Saturday, monthly, 12:15 pm","Riviera Presbyterian Church","33143","https://www.facebook.com/groups/231717410286608/","https://www.facebook.com/groups/231717410286608/"
"Asociacion Ecuatoriana de Orquideologia","Florida","Miami","2nd Tuesday, monthly, 8:30 p.m.","1224 Asturia Ave","33134","",""
"Asociacion Guatemalteca de Orquideologia","Departamento de Guatemala","Guatemala City","1st Saturday, monthly, 3:30 pm","INTECAP - Mateo Flores 7-51","01005","www.guatemalaorchidsociety.org","http://www.guatemalaorchidsociety.org/"
"Asociacion Orquideologia de Cartago","Provincia de Cartago","San Rafael de Oreamuno","3rd Tuesay, monthly, 7:00 pm, Salon Parroquial, Iglesia del Carmen Avenida 2 y 4, calle 2","c/o Carlos Granados Barquero","1169-7050","",""
"Asociacion Orquideologica de Escazu","Provincia de San José","Escazu","Last Saturday, monthly. 2:00PM","Colegio Itskatzu","10201","https://www.facebook.com/AsociacionOrquideologicadeEscazu/","https://www.facebook.com/AsociacionOrquideologicadeEscazu/"
"Asociacion Payanesa De Orquideologia","Departamento de Norte de Santander","Lebanon","","39127 Griggs Dr","97355-9444","",""
"Asociacion Quindiana de Orquideologia","Quindío Department","Armenia","","c/o Esperanza Mejia De Moreno","","",""
"Asociacion Risaraldense De Orquideologia","","Pereira","","Centro Comercial Uniplaza","","",""
"Asociacion Salvadorena de Orquideologia","Florida","Miami","No info provided.","c/o (Industria Caricia, S.A. de C.V.","33102","",""
"Asociacion Vallecaucana de Orquideologia","Florida","Miami","4th Wednesday, monthly.","c/o Janel de Cruz","33102-5512","",""
"Atlanta Orchid Society","Georgia","Atlanta","2nd Monday, monthly 8:00 p.m at Atlanta Botanical Garden, 1345 Piedmont Ave., Atlanta, GA.","Atlanta Botanical Garden - Day Hall","30309","www.atlantaorchidsociety.org","http://www.atlantaorchidsociety.org/"
"Barbados Orchid Society","Saint James","Bridgetown","2nd Sunday, monthly, 4:00 pm Members' residences","c/o Claire Waithe","BB 23035","",""
"Batavia Orchid Society","Illinois","Batavia","2nd Tuesday, monthly, Except July or August. 7:00 pm","Batavia Public Library","60510","www.bataviaorchidsociety.org","http://www.bataviaorchidsociety.org/"
"Baton Rouge Orchid Society","Louisiana","Baton Rouge","3rd Wednesday, monthly except December, 7:00 pm","Burden Conference Center","70809","https://www.batonrougeorchidsociety.com/","https://www.batonrougeorchidsociety.com/"
"Blue Ridge Orchid Society of South Carolina","South Carolina","","Monthly, 2nd week of the month. Rotates between weekdays And weekends. Time Varies.","Seneca/Clemson Area","","https://www.blueridgeorchidsociety.com/","https://www.blueridgeorchidsociety.com/"
"Blue Ridge Orchid Society-VA","Virginia","Roanoke","2nd Sunday, monthly (3rd Sunday in May), no meeting in July and August, 12:30 pm","Roanoke Council of Garden Clubs","24018","No Website Available","http://No Website Available"
"Boca Raton Orchid Society","Florida","Boca Raton","2nd Thursday, monthly, 7:30 pm","Safe School Institute","33431","www.brosonline.org","http://www.brosonline.org/"
"Boulder Orchid Society","Colorado","Boulder","4th Monday. 6:00PM","Boulder Public Library","80302","",""
"Brazos Valley Orchid Society","Texas","College Station","2nd Tuesday, monthly, 7:00 P.M. Southwood Community Center, Rock Prairie Rd., College Station, TX","c/o Don Maples","77845","https://www.facebook.com/brazosvalleyorchidsociety","https://www.facebook.com/brazosvalleyorchidsociety"
"Brevard County Orchid Society","Florida","Palm Shores","2nd Monday, monthly, 7:00 pm","Space Coast Realtors Association","32940","www.thebcos.org","http://www.thebcos.org/"
"Bucks County Orchid Society","Pennsylvania","Levittown","3rd Thursday, monthly (except July & August), 7:30 PM at Churchville Nature Center, 501 Churchville Lane, Churchville, PA","109 Pinewood Dr","19054-3611","www.buckscountyorchidsociety.org","http://www.buckscountyorchidsociety.org/"
"Bulawayo Orchid Society","Bulawayo Province","Bulawayo","4th Sunday, monthly. 10AM","Various members gardens","","",""
"Bundaberg Orchid Society","","Bundaberg QLD","","P.O. Box 1173","4670","",""
"Calcasieu Orchid Society Inc","Louisiana","Lake Charles","3rd Sunday, monthly. 3:00PM","LSU Agcenter","70607","",""
"Cape and Islands Orchid Society","Massachusetts","Falmouth","Monthly, 2nd Sunday of the month January thru June and October through December, except is 2nd Sunday is holiday weekend, then we meet 3rd Sunday; 12:30PM.","Admin. Bldg. of the Barnstable County Fairgrounds","02540-2638","www.caios.org","http://www.caios.org/"
"Cape Fear Orchid Society","North Carolina","Wilmington","Wednesday after 2nd Monday, monthly. 7:00PM","NHC Arboretum","28403","www.capefearorchid.org","http://www.capefearorchid.org/"
"Carmel Orchid Society Inc.","California","Seaside","1st Monday, monthly, 7:00 PM. Community Church of Monterey Peninsula, 4590 Carmel Valley Rd., Carmel, CA","c/o 1697 Luzern St","93955-4513","www.carmelorchidsociety.org","http://www.carmelorchidsociety.org/"
"Catawba Valley Orchid Society","North Carolina","Hickory","2nd Tuesday, monthly except December (holiday party) and August (annual picnic), 7:00 PM","Catawba Valley Community College","28602","www.cvos.org","http://www.cvos.org/"
"Catoctin Orchid Society","Maryland","Thurmont","2nd Sunday, monthly, Sept - June. 2:00PM","Thurmont Public Library","21788","catoctinorchidsociety.weebly.com","http://catoctinorchidsociety.weebly.com/"
"Cayman Islands Orchid Society","George Town","Grand Cayman","Please contact for more information.","PO Box 30336","KY1-1202","",""
"Central California Orchid Society","California","Fresno","1st Thursday, monthly, no meetings in July and December. 6:30PM","First Street Church","93710","www.centralcaliforniaorchidsociety.com","http://www.centralcaliforniaorchidsociety.com/"
"Central East Texas Orchid Society","Texas","Tyler","3rd Sunday, monthly, 2:00 PM. 315 N. Broadway, Tyler, TX","Tyler Chamber of Commerce Building, Genecov Room","75645","www.centraleasttexasorchidsociety.org","http://www.centraleasttexasorchidsociety.org/"
"Central Florida Orchid Society","Florida","Orlando","2nd Monday, monthly, 7:00 pm","Harry P Leu Botanical Gardens - Camelia Room","32803","www.cflorchidsociety.org","http://www.cflorchidsociety.org/"
"Central Illinois Orchid Society","Illinois","Champaign","2nd Monday, monthly, except August and December. Special events in March, July, and November, 6:30 PM","Hessel Park Christian Reformed Church","61820","www.ciorchidsociety.org","http://www.ciorchidsociety.org/"
"Central Indiana Orchid Society","Indiana","Indianapolis","4th Sunday, monthly, 1:30 PM.","Garfield Park Conservatory","46203","www.centralios.org","http://www.centralios.org/"
"Central Iowa Orchid Society","Iowa","Ankeny","2:00 pm - Check website for dates. Union Park Methodist Church (unless otherwise noted in the website), 2305 E 12th Street. Des Moines, IA","c/o Roger Brannian","50021","www.c-we.com/cios/","http://www.c-we.com/cios/"
"Central Jersey Orchid Society","New Jersey","Princeton","1st Wednesday, monthly, except July and August, 7:30 PM","D & R Greenway Land Trust","08540","www.centraljerseyorchids.org","http://www.centraljerseyorchids.org/"
"Central Louisiana Orchid Society","Louisiana","Alexandria","3rd Sunday, monthly, 2:30 pm","St. James Episcopal Church - Youth Building","71301","https://www.centrallouisianaorchidsociety.org/","https://www.centrallouisianaorchidsociety.org/"
"Central Missouri Orchid Society","Missouri","Columbia","2nd Sunday, monthly, 3:00 PM, except December. February Meeting At MOBOT Orchid Show.","Hy-Vee Club Room","65201","http://www.centralmissouriorchidsociety.com/","http://www.centralmissouriorchidsociety.com/"
"Central New York Orchid Society","New York","Baldwinsville","1st Sunday, monthly, no meetings in July or August. January and September subject to change due to holidays, 2:00 PM","St. Augustine's Church","13027","http://cnyos.org/","http://cnyos.org/"
"Central Ohio Orchid Society","Ohio","Columbus","3rd Thursday, monthly. 7:30PM","Franklin Park Conservatory","43203","https://www.centralohioorchidsociety.org/","https://www.centralohioorchidsociety.org/"
"Central Ontario Orchid Society (COOS)","Ontario","Kitchener","4th Monday, monthly, no meeting in July & August. 7:00PM","St Joseph's Roman Catholic Church Parish Hall","N2G 3M6","www.coos.ca","http://www.coos.ca/"
"Central Pennsylvania Orchid Society","Pennsylvania","State College","2nd Sunday, monthly,except May & Dec., Jan.-Mar. 1:00 PM on the Penn State campus in State Colleg, PA. Headhouse #1 behind the Tyson Bldg. on Shortlidge Road.","c/o Kathryn Hume","16803","www.facebook.com/CentralPaOrchidSociety","http://www.facebook.com/CentralPaOrchidSociety"
"Central Vancouver Island Orchid Society","British Columbia","Ladysmith","Monthly, please check the website for dates, 11:30AM to 2:30PM","North Oyster Community Center","V9G 1H6","www.cvios.org","http://www.cvios.org/"
"Charlotte Orchid Society","Florida","Punta Gorda","2nd Monday, monthly, 7:00 PM","Eastside Baptist Church","33950","",""
"Charlottesville Orchid Society","Virginia","Ruckersville","2nd Sunday, monthly, Sept.-June, 2:00 PM.","94 Prestwood Dr.","22968-3097","www.cvilleorchidsociety.com","http://www.cvilleorchidsociety.com/"
"Cherry City Orchid Society","Oregon","Salem","2nd Wednesday, monthly, except July and August is usually a pot luck at any location. 7:00PM","Salem Center 50+","97301","cherrycityorchidsociety.org","http://cherrycityorchidsociety.org/"
"Club Peruano de Orquideas","Lima","San Borja","3rd Saturday, monthly, 4:00 PM","Cavallini N° 150","41","www.peruorchids.com","http://www.peruorchids.com/"
"Coalition For Orchid Species","Florida","Coral Gables","3rd Monday, monthly, 7:00 PM","Fairchild Tropical Botanic Garden - Corbin Building","33156","www.cosspecies.org","http://www.cosspecies.org/"
"Coastal Carolina Orchid Society","South Carolina","Charleston","2nd Sunday, bi-monthly even months. Check website for pot-luck & auction at August meeting and Holiday luncheon at December meeting.","Charleston Southern University","29406","www.coastalcarolinaorchidsociety.org","http://www.coastalcarolinaorchidsociety.org/"
"Colorado Springs Orchid Society","Colorado","Colorado Springs","4th Saturday, monthly, except November and December, 10:00 AM","Fire Station 14","80918","www.csorchids.org","http://www.csorchids.org/"
"Conejo Orchid Society","California","Westlake Village","2nd Monday, monthly, 7:00 PM. No meetings in August, November, and December.","Westlake Village Town Hall","91361","www.conejoorchidsociety.org","http://www.conejoorchidsociety.org/"
"Connecticut Orchid Society","Connecticut","Cheshire / Farmington","2nd Wednesday, monthly, July and August, 7:00 PM","Cheshire Senior Center - 240 Maple Ave","06410/06085","www.ctorchids.org","http://www.ctorchids.org/"
"Coral Springs Orchid Society","Florida","Coral Springs","3rd Monday, monthly. 7:30PM","Cypress Park Hall","33068","www.coralspringsorchidsociety.org","http://www.coralspringsorchidsociety.org/"
"Cymbidium Society of America","California","Santa Barbara","2nd Wednesday, monthly at 7:00 pm at the Anaheim Downtown Community Center, 250 E. Center St., Anaheim, CA","c/o Heidi Kirkpatrick, Editor","93105","www.cymbidium.org","http://www.cymbidium.org/"
"Deep Cut Orchid Society, Inc.","New Jersey","Tinton Falls","2nd Tuesday of the month. 7:00PM","Monmouth Reform Temple","07724","www.deepcutorchidsociety.org","http://www.deepcutorchidsociety.org/"
"Deep South Orchid Society","Georgia","Savannah","2nd Sunday, monthly, 1:00 PM","Coastal Georgia Botanical Gardens - Andrews Center","31419","http://www.deepsouthorchidsociety.com/","http://www.deepsouthorchidsociety.com/"
"Deerfield Beach Orchid Society","Florida","Deerfield Beach","2nd Tuesday, monthly, 7:30 PM.","Deerfield Beach Women’s Club","33441","www.Deerfieldbeachorchidsociety.org","http://www.deerfieldbeachorchidsociety.org/"
"Delaware Orchid Society","Delaware","Wilmington","2nd Tuesday, monthly, September to July, 8:00 PM","Emmanuel Presbyterian Church","19803","www.delawareorchidsociety.com","http://www.delawareorchidsociety.com/"
"Delray Beach Orchid Society","Florida","Delray Beach","2nd Wednesday of the month at Veterans Park, 802 NE 1st Street, Delray Beach, FL 33446 at 7:00pm","c/o Valerie Smith","33483-6803","www.delraybeachorchidsociety.com","http://www.delraybeachorchidsociety.com/"
"Denver Orchid Society","Colorado","Denver","2nd Tuesday, monthly, no meeting in July and August, 7:00 PM. Meetings on Zoom.","The Lowry Conference Center - But currently on Zoom.","80230","www.denverorchidsociety.org","http://www.denverorchidsociety.org/"
"Desert Valley Orchid Society","Arizona","Phoenix","3rd Thursday, monthly, 6:45PM","Prince of Peace Chuch","85018","https://www.dvos-az.com/","https://www.dvos-az.com/"
"Diablo View Orchid Society, Inc.","California","Concord","2nd Thursday, monthly, 7:00PM","Contra Costa Water District Building Board Room","94520","www.dvos.org","http://www.dvos.org/"
"East Everglades Orchid Society","Florida","Miami","4th Tuesday, monthly 7:30 PM at the University of Florida Miami-Dade County Ext. Building, 18710 SW 288th St., Homestead, FL.","c/o Donna Taylor, Treasurer","33157","www.orchidseeos.com","http://www.orchidseeos.com/"
"Eastern Airlines Orchid Club","Florida","Miami","3rd Friday, monthly, 7:30 PM., Floroda Internat'l. University, South Campus, Wertheim Conservatory (next to green house Tamiami Trail, SW 8 St. and SW 112th Ave.","c/o Diane Dickhut","33186","",""
"Eastern Canada Orchid Society","Québec","Kirkland","3rd Tuesday, monthly, 7:30 PM.","Laurens Verkade. President","H9J 1N8","www.ecosorchids.ca","http://www.ecosorchids.ca/"
"Eastern District Orchid Society Inc.","State of Queensland","Queensland","4th Thursday, monthly except Dec., 8:00 pm.","P.O. Box 60","4178","",""
"Eastern Iowa Orchid Society","Iowa","Swisher","1st Thursday, monthly. 6:30PM","Shueyville Methodist Church","52338","easterniowaorchidsociety.org","http://easterniowaorchidsociety.org/"
"Eastern Maine Orchid Society","Maine","Orono","3rd Saturday, monthly, September thru May, 11:00 AM","University of Maine - Roger Clapp Greenhouse","04473","www.easternmaineorchidsociety.com","http://www.easternmaineorchidsociety.com/"
"Englewood Area Orchid Society","Florida","Englewood","3rd Monday, monthly. 6:30 PM","St. David's Episcopal Church","34223","www.eaos.org","http://www.eaos.org/"
"Essex County Orchid Society","Ontario","Oldcastle","Third Sunday, monthly from Sept to May except Dec, when we host a members' Christmas party. 1:30PM","St Stephen's Anglican Church Hall","N0R 1L0","www.essexcountyorchidsociety.webs.com","http://www.essexcountyorchidsociety.webs.com/"
"Ewa Orchid Society","Hawaii","Kapolei","4th Thursday, monthly, 7:00 PM.","92-756 Nenelea St","96707-1131","",""
"Fascination of Orchids, Inc.","California","Huntington Beach","","21052 Cocobana Ln","92646-6431","www.fascinationoforchids.com","http://www.fascinationoforchids.com/"
"Five Cities Orchid Society","California","Arroyo Grande","2nd Thursday, monthly, 7:30 PM","Arroyo Grande Women's Center","93420","www.fcos.org","http://www.fcos.org/"
"Five Valleys Orchid Society","Montana","Missoula","bimonthly (Feb, Apr, June, Aug, Oct, Dec) at various times and locations, Call for Information.","c/o 3112 South 3rd St West","59804","",""
"Flagler County Orchid Society","Florida","Palm Coast","4th Tuesday, monthly, 7:00 PM. Except June, July and November at the Flagler County Art League","18 Panorama Dr","32164-7512","",""
"Flamingo Gardens Orchid Society","Florida","Davie","2nd Monday, monthly, 7:00 PM","Flamingo Gardens - The Gallery","33330","http://www.flamingogardensorchidsociety.com/","http://www.flamingogardensorchidsociety.com/"
"Florida West Coast Orchid Society","Florida","Largo","2nd Thursday, monthly, 6:30 PM","Florida Botanical Gardens","33774","www.fwcos.org","http://www.fwcos.org/"
"Foothills Orchid Society","Alberta","Calgary","Monday after the 4th Sunday, monthly September to June, 7:00 PM","Marda Loop Community Association Hall","T2P 4J5","www.foothillsorchidsociety.com","http://www.foothillsorchidsociety.com/"
"Fort Lauderdale Orchid Society","Florida","Fort Lauderdale","2nd Monday, monthly. 7:30 PM","Christ Lutheran Church Social Hall","33306","www.flos.org","http://www.flos.org/"
"Fort Pierce Orchid Society","Florida","Fort Pierce","2nd Saturday, monthly, 10:00 AM.","Ft. Pierce Garden Club","34979","www.myfpos.com","http://www.myfpos.com/"
"Fort Worth Orchid Society","Texas","Fort Worth","1st Monday, monthly, 7:00 PM.","Fort Worth Botanic Garden","76107","http://www.fwos.club/","http://www.fwos.club/"
"Fraser Valley Orchid Society","British Columbia","Langley","Tuesday after the 3rd Wednesday of the month, 7:30PM. No meetings on July, August, or December.","George Preston Recreation Centre","V3A 3B1","https://www.fraservalleyorchidsociety.com","https://www.fraservalleyorchidsociety.com/"
"Gainesville Orchid Society","Florida","Gainesville","4th Monday, monthly, except December, 7:00 PM","Kanapaha Botanical Gardens","32627","www.gainesvilleorchidsociety.org","http://www.gainesvilleorchidsociety.org/"
"Galveston Bay Orchid Society","Texas","Houston","3rd Monday, monthly. 7:00PM","Unitarian Universelist Church","77058","www.galvestonbayorchidsociety.org","http://www.galvestonbayorchidsociety.org/"
"Garden Island Orchid Society","Hawaii","Hanapepe","2nd Friday, even months, 7:00 pm","PO Box 1056","96716-1056","",""
"Genesee Region Orchid Society","New York","Rochester","1st Monday after 1st Sunday, monthly, from September through June. 7:15 PM","The Louis S. Wolk J.C.C. Of Greater Rochester","14618","www.geneseeorchid.org","http://www.geneseeorchid.org/"
"Gold Coast Cymbidium Growers","California","San Mateo","3rd Friday, monthly except June, July, August, and December. 7:00PM","San Mateo Garden Center","94403","http://www.goldcoastcymbidiumsocietyinc.org","http://www.goldcoastcymbidiumsocietyinc.org/"
"Gold Coast Unlimited Orchid Society","Florida","North Miami","2nd Tuesday, monthly, 7:30 PM","Gwen Margolis Community Center","33161","http://goldcoastorchidsociety.shutterfly.com","http://goldcoastorchidsociety.shutterfly.com/"
"Grand Valley Orchid Society","Michigan","Grand Rapids","4thThursday, monthly,7:00 pm.","330 Greenwich Road North East","49506-1226","www.grandvalleyos.org","http://www.grandvalleyos.org/"
"Great Divide Orchid Society","Montana","Helena","1st or 2nd Saturday of each month, 3 or 4PM Lewis & Clark Library and other locations.","Lewis and Clark Library","59601","https://www.greatdivideorchidsociety.org/","https://www.greatdivideorchidsociety.org/"
"Greater Akron Orchid Society","Ohio","Akron","2nd Monday, monthly, except December. 7:00PM","Portage Lakes Kiwanis Club","44319","https://thegaos.com/","https://thegaos.com/"
"Greater Cleveland Orchid Society","Ohio","South Euclid","3rd Monday, monthly, except for February, July and August. 7 p.m.","South Euclid Community Center","44121-3629","www.gcos.org","http://www.gcos.org/"
"Greater Evansville Area Orchid Society","Indiana","Evansville","Last Saturday, monthly, 10:00 AM","Mesker Park Zoo & Botanic Garden - Amazonia Garden","47720","https://www.facebook.com/Greater-Evansville-Area-Orchid-Society-1539037359657960/","https://www.facebook.com/Greater-Evansville-Area-Orchid-Society-1539037359657960/"
"Greater Lansing Orchid Society","Michigan","Okemos","Saturday; monthly. Times vary (2pm, 6pm, 7pm)","2/42 Community Center","48864","greaterlansingorchidsociety.com","http://greaterlansingorchidsociety.com/"
"Greater Las Vegas Orchid Society","Nevada","Las Vegas","1st Sunday, monthly, 2:00 pm.","c/o Diana Smith","89166-9107","www.glvos.org","http://www.glvos.org/"
"Greater North Texas Orchid Society","Texas","Dallas","1st Sunday, monthly, 2:30 pm","North Haven Gardens","75230","www.gntos.org","http://www.gntos.org/"
"Greater Omaha Orchid Society","Nebraska","Omaha","2nd Wednesday, monthly, 7:00 pm.","Douglas/Sarpy County Extension Office","68124","greateromahaorchidsociety.org","http://greateromahaorchidsociety.org/"
"Greater Orlando Orchid Society","Florida","Orlando","3rd Tuesday, monthly, 7:00 pm.","c/o Joy Prince","32804","www.greaterorlandoorchidsociety.com","http://www.greaterorlandoorchidsociety.com/"
"Greater Pensacola Orchid Society","Florida","Pensacola","1st Tuesday, monthly, 7:00 pm","c/o Mary Roberts","32526","www.greaterpensacolaorchidsociety.org","http://www.greaterpensacolaorchidsociety.org/"
"Greater Philadelphia Orchid Society","Pennsylvania","Boyertown","3rd Thursday, monthly Sept. - June 7:30 pm at Cathedral Village, 600 Cathedral Rd., Philadelphia, PA in Cathedral Room.","177 Sandy Hill Rd","19512-8157","http://www.facebook.com/GPOorchids?ref=bookmarks","http://www.facebook.com/GPOorchids?ref=bookmarks"
"Greater Toledo Orchid Society","Ohio","Perrysburg","2nd Saturday, every other month, 10:00 am. (Except July)","Way Library","43551","",""
"Greater Westchester Orchid Society","New York","Harrison","2nd Tuesday, monthly, except August, 7:00 PM","Harrison Recreation Center","10528","https://www.facebook.com/WestchesterOrchids/","https://www.facebook.com/WestchesterOrchids/"
"Gruene Orchid Society","Texas","New Braunfels","1st Thursday, monthly. 7:00PM","PAC Specialty Hospital","78130","www.grueneorchidsociety.org","http://www.grueneorchidsociety.org/"
"Gulf Coast Orchid Alliance, Inc.","Florida","Naples","Monthly, Third Thursday. 6:30PM","Naples Conference Center","34109","http://www.gulfcoastorchidalliance.com","http://www.gulfcoastorchidalliance.com/"
"Gulf Coast Orchid Society","Mississippi","Gulfport","2nd or 3rd Sunday, monthly, 2:00 pm","Joe Graham Post 119 American Legion Hall","39503","www.gcorchids.org","http://www.gcorchids.org/"
"Gympie & District Orchid Society","","Gympie","","PO Box 52","4570","",""
"Hawke's Bay Orchid Society","","Napier 4104","","c/o W. F. Liddy","","",""
"Heart of Texas Orchid Society","Texas","Austin","1st Tuesday, monthly. 6:45 PM","Zilker Botanical Gardens","78746","www.hotos.org","http://www.hotos.org/"
"Hi-Country Orchid Club","Colorado","Fort Collins","3rd Sunday, monthly, 2:00 PM. Meetings take place at members' homes.","Various Locations","80535","",""
"High Desert Orchid Society","Colorado","","4th Wednesday, monthly, except July and August, 7:00 PM","Travel within members homes","","",""
"Hilo Orchid Society","Hawaii","Hilo","2nd Saturday, monthly except December and variable show date. 1:00PM","Kamana Senior Center","96720","http://www.hiloorchidsociety.org/","http://www.hiloorchidsociety.org/"
"Honolulu Orchid Society, Inc","Hawaii","Honolulu","2nd Wednesday, monthly, 7:30 pm (except January)","Lanakila Elementary School Cafetaria","96817","www.honoluluorchidsociety.org","http://www.honoluluorchidsociety.org/"
"Houston Orchid Society","Texas","Houston","1st Thursday, monthly. 7:30PM","First Christian Church","77005","www.houstonorchidsociety.org","http://www.houstonorchidsociety.org/"
"Humboldt Orchid Society","California","Arcata","3rd Wednesday, monthly. 6:00 pm.,Adorni Center, 1011 Waterfront Dr., Eureka, CA","1312 Chester Ave.","95521","www.humboldtorchids.org","http://www.humboldtorchids.org/"
"Huntington Library & Botanical Gardens","California","San Marino","","Acquisitions Dept","91108-1218","http://www.huntington.org/","http://www.huntington.org/"
"Huntsville Orchid Society","Alabama","Madison","3rd Monday, monthly, 6:30 pm. Huntsville Botancial Garden, 4747 Bob Wallace Ave. SW, Huntsville, AL 35805","679 Crestview Drive","35758","http://www.hsvos.org/","http://www.hsvos.org/"
"Illinois Orchid Society","Illinois","Glenco","2nd Sunday, monthly, except June and December when meetings are at local commercial orchid greenhouses, 11:30 AM","Chicago Botanic Gardens","60022","www.iosoc.com","http://www.iosoc.com/"
"Illowa Orchid Society","Illinois","Moline","1st Wednesday, monthly, 6:00 pm (except Jan, July, Aug.) December meeting is 1st Wednesday of the month for a Christmas supper.","Deere-Wiman Carriage House","61265","www.illowaorchidsociety.org","http://www.illowaorchidsociety.org/"
"International Phalaenopsis Alliance, Inc.","Delaware","Wilmington","Semi-annual meetings with AOS Members meetings.","c/o Lynn Fuller","19806-4117","www.phal.org","http://www.phal.org/"
"Jacksonville Orchid Society","Florida","Jacksonville","2nd Tuesday, monthly, 7:00PM","Mandarin Garden Club","32223","www.jaxorchidsociety.org","http://www.jaxorchidsociety.org/"
"Jamaica Orchid Society","","Kingston 6","1st Saturday, monthly 4:00 pm.","c/o 31 Kings House Avenue","60","www.hamlynorchids.com/jaos.html","http://www.hamlynorchids.com/jaos.html"
"Japan Amateur Orchid Society","Tokyo Prefecture","Suginami, Tokyo","Please visit the website, call, or email for meeting information.","C/O Daisuke Hamanaka","167-0022","www.orchidjaos.gr.jp","http://www.orchidjaos.gr.jp/"
"Japan Fuukiran Orchid Society","Tokyo Prefecture","","Annual Orchid Show in May, Fuurikan Flower Show in July and Fundraising Auction in November","","","http://nihonfuukirankai.com","http://nihonfuukirankai.com/"
"Japan Orchid Growers Association","Tokyo Prefecture","Setagaya-ku","","3-18-12, Hachiman-yama","156-0056","https://www.joga.or.jp/","https://www.joga.or.jp/"
"Jersey Highlands Orchid Society","New Jersey","Newton","Last Tuesday, monthly, 7:00 PM","Bristol Glenn","07860","http://www.jerseyhighlands.wordpress.com","http://www.jerseyhighlands.wordpress.com/"
"Jupiter-Tequesta Orchid Society","Florida","Jupiter","2nd Wednesday, monthly, 7:00 PM","200 Military Trail","33458","www.jupitertequestaorchidsociety.com","http://www.jupitertequestaorchidsociety.com/"
"Kalamazoo Dunes Orchid Society","Michigan","Kalamazoo","1st Sunday, monthly. Some holiday exceptions. 2:00 PM","Reformed Haven Church","49004","http://dkos.proinnovation.com/","http://dkos.proinnovation.com/"
"Kansas Orchid Society","Kansas","Wichita","3rd Sunday, monthly, 2:00PM","Wichita Botanical Gardens","67203","www.kansasorchidsociety.com","http://www.kansasorchidsociety.com/"
"Kentucky Orchid Society","Kentucky","Louisville","2nd Wednesday, monthly, 6:30 pm.","Immanuel United Church of Christ","40205","www.kyorchidsociety.com","http://www.kyorchidsociety.com/"
"Kenya Orchid Society","","Nairobi","2nd Sunday, monthly at member's gardens","","","",""
